episode_id,sequence,condition,object_name,target_class,expected_strategy,instance_id,replicate,distractor,accepted_utc,duration_s,frames_processed,primary_threshold,collection_threshold,autonomous_lock_class,autonomous_lock_strategy,autonomous_lock_confidence,autonomous_lock_latency_s,autonomous_correct_class,autonomous_correct_strategy,target_assisted_lock_found,target_assisted_lock_latency_s,target_assisted_lock_confidence,no_detection_at_primary_threshold,unknown_dangerous_mapped_lock,video_file,detections_file
DIM_BOTTLE_R03,17,dim,bottle,bottle,medium,A,3,,2026-09-05T08:59:20.958508+00:00,10.057863,150,0.25,0.05,bottle,medium,0.900101,0.11038,1,1,1,0.11038,0.900101,0,0,videos/DIM_BOTTLE_R03.mp4,detections/DIM_BOTTLE_R03.jsonl
DIM_BOTTLE_R05,19,dim,bottle,bottle,medium,A,5,,2026-09-05T08:59:48.435726+00:00,10.04724,150,0.25,0.05,bottle,medium,0.91483,0.114568,1,1,1,0.114568,0.91483,0,0,videos/DIM_BOTTLE_R05.mp4,detections/DIM_BOTTLE_R05.jsonl
DIM_BOTTLE_R02,21,dim,bottle,bottle,medium,A,2,,2026-09-05T09:00:13.989071+00:00,10.048212,150,0.25,0.05,bottle,medium,0.904611,0.105186,1,1,1,0.105186,0.904611,0,0,videos/DIM_BOTTLE_R02.mp4,detections/DIM_BOTTLE_R02.jsonl
DIM_BOTTLE_R04,30,dim,bottle,bottle,medium,A,4,,2026-09-05T09:00:46.547352+00:00,10.048137,150,0.25,0.05,bottle,medium,0.862474,0.107439,1,1,1,0.107439,0.862474,0,0,videos/DIM_BOTTLE_R04.mp4,detections/DIM_BOTTLE_R04.jsonl
DIM_SCISSORS_R01,18,dim,scissors,scissors,hard,A,1,,2026-09-05T09:01:20.772202+00:00,10.046528,150,0.25,0.05,scissors,hard,0.924521,0.112997,1,1,1,0.112997,0.924521,0,0,videos/DIM_SCISSORS_R01.mp4,detections/DIM_SCISSORS_R01.jsonl
DIM_SCISSORS_R03,20,dim,scissors,scissors,hard,A,3,,2026-09-05T09:01:48.534813+00:00,10.055644,150,0.25,0.05,scissors,hard,0.898148,0.106452,1,1,1,0.106452,0.898148,0,0,videos/DIM_SCISSORS_R03.mp4,detections/DIM_SCISSORS_R03.jsonl
DIM_SCISSORS_R02,22,dim,scissors,scissors,hard,A,2,,2026-09-05T09:02:11.145749+00:00,10.053553,150,0.25,0.05,scissors,hard,0.871408,0.106468,1,1,1,0.106468,0.871408,0,0,videos/DIM_SCISSORS_R02.mp4,detections/DIM_SCISSORS_R02.jsonl
DIM_SCISSORS_R04,26,dim,scissors,scissors,hard,A,4,,2026-09-05T09:02:36.830197+00:00,10.057817,150,0.25,0.05,scissors,hard,0.67804,0.116795,1,1,1,0.116795,0.67804,0,0,videos/DIM_SCISSORS_R04.mp4,detections/DIM_SCISSORS_R04.jsonl
DIM_SCISSORS_R05,27,dim,scissors,scissors,hard,A,5,,2026-09-05T09:03:08.247247+00:00,10.056649,150,0.25,0.05,scissors,hard,0.925285,0.110594,1,1,1,0.110594,0.925285,0,0,videos/DIM_SCISSORS_R05.mp4,detections/DIM_SCISSORS_R05.jsonl
BKL_BANANA_R02,32,backlight,banana,banana,soft,A,2,,2026-09-05T09:11:28.693264+00:00,10.05191,150,0.25,0.05,banana,soft,0.789994,0.115746,1,1,1,0.115746,0.789994,0,0,videos/BKL_BANANA_R02.mp4,detections/BKL_BANANA_R02.jsonl
BKL_BANANA_R04,35,backlight,banana,banana,soft,A,4,,2026-09-05T09:12:10.588020+00:00,10.051196,150,0.25,0.05,banana,soft,0.603655,0.121917,1,1,1,0.121917,0.603655,0,0,videos/BKL_BANANA_R04.mp4,detections/BKL_BANANA_R04.jsonl
BKL_BANANA_R03,42,backlight,banana,banana,soft,A,3,,2026-09-05T09:12:44.476081+00:00,10.049374,150,0.25,0.05,banana,soft,0.817727,0.122505,1,1,1,0.122505,0.817727,0,0,videos/BKL_BANANA_R03.mp4,detections/BKL_BANANA_R03.jsonl
BKL_BANANA_R01,43,backlight,banana,banana,soft,A,1,,2026-09-05T09:13:11.296530+00:00,10.051287,150,0.25,0.05,banana,soft,0.752082,0.121882,1,1,1,0.121882,0.752082,0,0,videos/BKL_BANANA_R01.mp4,detections/BKL_BANANA_R01.jsonl
BKL_BANANA_R05,44,backlight,banana,banana,soft,A,5,,2026-09-05T09:13:38.656913+00:00,10.059306,150,0.25,0.05,banana,soft,0.667794,0.118863,1,1,1,0.118863,0.667794,0,0,videos/BKL_BANANA_R05.mp4,detections/BKL_BANANA_R05.jsonl
BKL_BOTTLE_R01,33,backlight,bottle,bottle,medium,A,1,,2026-09-05T09:14:13.740753+00:00,10.052144,150,0.25,0.05,bottle,medium,0.936787,0.116134,1,1,1,0.116134,0.936787,0,0,videos/BKL_BOTTLE_R01.mp4,detections/BKL_BOTTLE_R01.jsonl
BKL_BOTTLE_R04,34,backlight,bottle,bottle,medium,A,4,,2026-09-05T09:14:49.633554+00:00,10.053297,150,0.25,0.05,bottle,medium,0.907827,0.11225,1,1,1,0.11225,0.907827,0,0,videos/BKL_BOTTLE_R04.mp4,detections/BKL_BOTTLE_R04.jsonl
BKL_BOTTLE_R02,36,backlight,bottle,bottle,medium,A,2,,2026-09-05T09:15:58.746849+00:00,10.050907,150,0.25,0.05,bottle,medium,0.918505,0.108059,1,1,1,0.108059,0.918505,0,0,videos/BKL_BOTTLE_R02.mp4,detections/BKL_BOTTLE_R02.jsonl
BKL_BOTTLE_R03,39,backlight,bottle,bottle,medium,A,3,,2026-09-05T09:16:28.173495+00:00,10.057475,150,0.25,0.05,bottle,medium,0.907548,0.119502,1,1,1,0.119502,0.907548,0,0,videos/BKL_BOTTLE_R03.mp4,detections/BKL_BOTTLE_R03.jsonl
BKL_BOTTLE_R05,41,backlight,bottle,bottle,medium,A,5,,2026-09-05T09:16:55.052070+00:00,10.050149,150,0.25,0.05,bottle,medium,0.876558,0.116308,1,1,1,0.116308,0.876558,0,0,videos/BKL_BOTTLE_R05.mp4,detections/BKL_BOTTLE_R05.jsonl
BKL_SCISSORS_R03,37,backlight,scissors,scissors,hard,A,3,,2026-09-05T09:18:18.180144+00:00,10.052422,150,0.25,0.05,scissors,hard,0.803569,0.118699,1,1,1,0.118699,0.803569,0,0,videos/BKL_SCISSORS_R03.mp4,detections/BKL_SCISSORS_R03.jsonl
BKL_SCISSORS_R01,38,backlight,scissors,scissors,hard,A,1,,2026-09-05T09:18:56.343050+00:00,10.054403,150,0.25,0.05,scissors,hard,0.880408,0.113484,1,1,1,0.113484,0.880408,0,0,videos/BKL_SCISSORS_R01.mp4,detections/BKL_SCISSORS_R01.jsonl
BKL_SCISSORS_R05,40,backlight,scissors,scissors,hard,A,5,,2026-09-05T09:19:27.496450+00:00,10.051991,150,0.25,0.05,scissors,hard,0.945151,0.118449,1,1,1,0.118449,0.945151,0,0,videos/BKL_SCISSORS_R05.mp4,detections/BKL_SCISSORS_R05.jsonl
BKL_SCISSORS_R04,45,backlight,scissors,scissors,hard,A,4,,2026-09-05T09:19:57.183841+00:00,10.051466,150,0.25,0.05,scissors,hard,0.825504,0.105691,1,1,1,0.105691,0.825504,0,0,videos/BKL_SCISSORS_R04.mp4,detections/BKL_SCISSORS_R04.jsonl
